"specimen","species","country","region","habitat","general_habitat","habit","general_habit","recorder","lemma_papillae_simple","lemma_papillae_bifurcated","lemma_papillae_branch","lemma_prickle","lemma_bicellular","lemma_macro","lemma_rondel","lemma_cross","lemma_bilobate_vertical","lemma_bilobate_horizontal","lemma_saddle","lemma_vertical_elongated","lemma_horizontal_elongated","lemma_reniform_vertical","lemma_reniform_horizontal","lemma_stomata","lemma_stomata_freq","lemma_subsidiary_triangular","lemma_subsidiary_dome","lemma_subsidiary_parallel","palea_papillae_simple","palea_papillae_bifurcated","palea_papillae_branch","palea_margin_prickle","palea_margin_bicellular","palea_margin_macro","palea_sulcus_prickle","palea_sulcus_bicellular","palea_sulcus_macro","palea_rondel","palea_cross","palea_bilobate_vertical","palea_bilobate_horizontal","palea_saddle","palea_vertical_elongated","palea_horizontal_elongated","palea_reniform_vertical","palea_reniform_horizontal","palea_stomata","palea_stomata_freq","palea_subsidiary_triangular","palea_subsidiary_dome","palea_subsidiary_parallel"
"g_aculeata_clark_and_tenorio_949","g_aculeata","mexico","mexico","forest","general_forest","big_erect","erect_or_climbing","ekm","0","0","0","1","1","1","1","0","1","1","0","0","0","1","0","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","0","0"
"g_aculeata_mcclure_21556","g_aculeata","honduras","central_america","forest","general_forest","big_erect","erect_or_climbing","jac","0","0","0","1","1","1","1","1","0","1","0","0","0","1","1","1","1","0","1","0","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","0","1","0","1","1","0","1","0"
"g_aculeata_mcclure_21572","g_aculeata","guatemala","central_america","forest","general_forest","big_erect","erect_or_climbing","jac","0","0","0","1","1","1","1","0","0","1","0","0","1","1","0","1","0","1","1","0","0","0","0","1","0","1","1","1","1","1","0","0","0","0","1","1","1","0","1","0","0","1","1"
"g_aculeata_ortiz_2059","g_aculeata","nicaragua","central_america","forest","general_forest","big_erect","erect_or_climbing","jac","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","1","0","1","1","0","0","0","0","1","0","0","1","1","1","1","0","1","0","0","1","0","1","0","1","0","0","1","0"
"g_aculeata_stevens_and_moreno_19690","g_aculeata","nicaragua","central_america","forest","general_forest","big_erect","erect_or_climbing","jac","0","0","0","1","1","0","1","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","1","1","0","1","1","1","1","0","0","1","0","0","0","0","0","1","0","0","1","0"
"g_amplexifolia_allen_4039","g_amplexifolia","panama","central_america","river","general_forest","big_erect","erect_or_climbing","jac","1","0","0","1","1","1","0","1","0","1","0","1","0","0","1","1","1","0","1","1","0","0","0","1","1","0","1","1","1","1","0","0","1","0","1","0","0","0","1","1","0","1","0"
"g_amplexifolia_mcclure_21268","g_amplexifolia","venezuela","andes","river","general_forest","big_erect","erect_or_climbing","ekm","1","1","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","1","0"
"g_amplexifolia_stevens_8606","g_amplexifolia","nicaragua","central_america","river","general_forest","big_erect","erect_or_climbing","jac","1","0","0","1","1","0","1","1","1","1","1","0","1","1","0","1","0","0","1","1","0","0","0","1","1","0","1","1","1","1","0","0","1","0","1","1","0","0","1","1","0","1","0"
"g_amplexifolia_stevens_and_moreno_19559","g_amplexifolia","nicaragua","central_america","river","general_forest","big_erect","erect_or_climbing","jac","1","1","0","1","1","1","1","1","0","1","1","0","0","1","0","1","0","1","1","1","0","0","0","1","1","0","1","1","1","1","1","0","1","0","1","0","1","0","1","1","1","1","0"
"g_amplexifolia_torres_sn","g_amplexifolia","venezuela","andes","river","general_forest","big_erect","erect_or_climbing","jac","1","1","0","1","1","0","1","0","1","1","1","1","0","1","1","1","0","1","1","1","0","0","0","1","1","0","1","1","1","1","0","1","0","0","1","1","0","0","1","1","1","0","0"
"g_angustifolia_fosberg_19831","g_angustifolia","colombia","andes","forest","general_forest","big_erect","erect_or_climbing","jac","0","0","0","1","1","0","1","1","0","1","0","0","1","0","0","1","0","1","1","1","0","0","0","1","1","0","1","1","1","1","0","0","1","0","0","0","1","0","1","1","0","1","0"
"g_angustifolia_londono_and_clark_484","g_angustifolia","colombia","andes","forest","general_forest","big_erect","erect_or_climbing","ekm","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","1","1","1","1","1","1","1","0","0","0","0","1","0","0","0","1","1","1","0","0"
"g_angustifolia_londono_and_kvist_817","g_angustifolia","colombia","andes","forest","general_forest","big_erect","erect_or_climbing","jac","0","0","0","1","1","1","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","1","1","1","1","1","1","1","0","0","1","0","0","1","0","0","1","1","0","1","1"
"g_angustifolia_londono_et_al_1027","g_angustifolia","colombia","andes","forest","general_forest","big_erect","erect_or_climbing","ekm","0","0","0","1","1","0","1","0","0","1","0","0","1","0","0","1","0","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","1","0","1","0","1","0","1","1","0","1","0"
"g_calderoniana_calderon_and_santos_2476","g_calderoniana","brazil","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","1","0","0","1","1","1","0","1","1","0","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","1","1","1","1","0","0","1","0","1","0","0","0","1","1","1","1","0"
"g_calderoniana_calderon_et_al_2386","g_calderoniana","brazil","eastern_south_america","forest","general_forest","leaning_climbing","erect_or_climbing","ekm","1","1","0","1","0","1","1","0","1","0","1","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","1","0","1","0","1","0","0","1","0"
"g_chacoensis_davidse_et_al_11233","g_chacoensis","bolivia","eastern_south_america","river","general_forest","big_erect","erect_or_climbing","jac","0","0","0","1","1","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","1","0","1","1","1","0","0"
"g_chacoensis_nee_35467","g_chacoensis","bolivia","eastern_south_america","river","general_forest","big_erect","erect_or_climbing","ekm","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","1","1","0","1","1","1","1","0","0","0","0","0","0","1","0","1","1","1","0","1"
"g_chacoensis_nee_and_vargas_44970","g_chacoensis","bolivia","eastern_south_america","river","general_forest","big_erect","erect_or_climbing","ekm","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","1","0","1","1","0","1","0"
"g_chacoensis_pavetti_and_rojas_10959","g_chacoensis","paraguay","eastern_south_america","river","general_forest","big_erect","erect_or_climbing","ekm","0","0","0","1","0","0","1","0","1","1","0","1","0","0","0","1","0","1","1","0","0","0","0","1","1","0","1","1","1","1","0","0","0","0","1","0","1","0","1","1","0","1","0"
"g_ciliata_davidse_et_al_17114","g_ciliata","venezuela","eastern_south_america","river","general_forest","leaning_climbing","erect_or_climbing","ekm","1","1","1","1","1","1","0","0","1","0","1","1","0","1","0","1","0","1","1","0","0","0","0","1","0","1","1","1","1","1","0","1","0","1","1","0","0","0","1","1","0","1","0"
"g_ciliata_davidse_et_al_17318","g_ciliata","venezuela","eastern_south_america","river","general_forest","leaning_climbing","erect_or_climbing","jac","1","0","1","1","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1","1","0","0","1","0","1","0","1","1","0","1","0"
"g_ciliata_kubitzki_et_al_79_135","g_ciliata","brazil","eastern_south_america","river","general_forest","leaning_climbing","erect_or_climbing","ekm","1","1","1","1","1","1","1","0","1","0","1","0","0","1","0","1","1","1","1","1","0","0","0","1","1","0","1","1","1","1","1","1","0","1","1","0","0","0","1","1","1","0","0"
"g_ciliata_liesner_ 3477","g_ciliata","venezuela","eastern_south_america","river","general_forest","leaning_climbing","erect_or_climbing","jac","1","1","1","1","1","1","1","0","1","0","1","1","0","1","0","1","0","0","1","1","0","0","0","1","1","1","1","1","1","1","0","0","1","0","1","1","0","0","1","1","0","1","0"
"g_ciliata_steward_et_al_466","g_ciliata","brazil","eastern_south_america","river","general_forest","leaning_climbing","erect_or_climbing","ekm","1","1","1","1","1","0","0","0","1","0","1","0","0","1","0","1","0","1","1","1","0","0","0","1","1","1","1","1","1","1","0","1","0","1","1","0","1","0","1","1","0","1","0"
