specimen,species,country,region,habitat,general_habitat,habit,general_habit,recorder,notes_lemma,notes_palea,lemma_papillae,lemma_prickle,lemma_bicellular,lemma_macro,lemma_rondel,lemma_cross,lemma_bilobate_vertical,lemma_bilobate_horizontal,lemma_saddle,lemma_vertical_elongated,lemma_horizontal_elongated,lemma_stomata,lemma_stomata_freq,lemma_subsidiary_triangular,lemma_subsidiary_dome,lemma_subsidiary_parallel,palea_papillae,palea_margin_prickle,palea_margin_bicellular,palea_margin_macro,palea_sulcus_prickle,palea_sulcus_bicellular,palea_sulcus_macro,palea_rondel,palea_cross,palea_bilobate_vertical,palea_bilobate_horizontal,palea_saddle,palea_vertical_elongated,palea_horizontal_elongated,palea_stomata,palea_stomata_freq,palea_subsidiary_triangular,palea_subsidiary_dome,palea_subsidiary_parallel
G_aculeata_Clark_and_Tenorio_949,G_aculeata,Mexico,Mexico,Forest,general_forest,Big_erect,erect_or_climbing,EKM,"Papillae absent. Slightly more stomata at edges, fewer in middle. Central keel with more hair, otherwise bicellular microhairs and prickles fairly uniform.","Papillae absent. Margins with only a few hairs, mainly in two stripes, keels hairy, sulcus densely hairy",0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0
G_aculeata_McClure_21556,G_aculeata,Honduras,Central_America,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0
G_aculeata_McClure_21572,G_aculeata,Guatemala,Central_America,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1
G_aculeata_Ortiz_2059,G_aculeata,Nicaragua,Central_America,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
G_aculeata_Stevens_and_Moreno_19690,G_aculeata,Nicaragua,Central_America,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0
G_amplexifolia_McClure_21268,G_amplexifolia,Venezuela,Andes,Forest,general_forest,Big_erect,erect_or_climbing,EKM,"Papillae present. Stomatal zone with few papillae, interstomatal zones with many papillae and hairs. Fewer papillae towards apex.","Papillae absent. Margins with only a few hairs, keels hairy, sulcus densely hairy. Only a few stomata, including some in sulcus.",1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
G_amplexifolia_Allen_4039,G_amplexifolia,Panama,Central_America,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0
G_amplexifolia_Stevens_8606,G_amplexifolia,Nicaragua,Central_America,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0
G_amplexifolia_Torres_SN,G_amplexifolia,Venezuela,Andes,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0
G_amplexifolia_Stevens_and_Moreno_19559,G_amplexifolia,Nicaragua,Central_America,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
G_angustifolia_Londono_and_Clark_484,G_angustifolia,Colombia,Andes,Forest,general_forest,Big_erect,erect_or_climbing,EKM,"Papillae absent. Nearly glabrous to glabrous near margins, with mix of long prickle hairs and bicellular microhairs in center. A few macrohairs in center. Stomata generally infrequent, more common near center.","Papillae absent. Two stripes of hair along margin, keels hairy and sulcus very densely hairy, very few stomata on margin",0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0
G_angustifolia_Londono_and_Kvist_817,G_angustifolia,Colombia,Andes,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1
G_angustifolia_Fosberg_19831,G_angustifolia,Colombia,Andes,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0
G_angustifolia_Londono_et_al_1027,G_angustifolia,Colombia,Andes,Forest,general_forest,Big_erect,erect_or_climbing,EKM,,,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0
G_calderoniana_Calderon_et_al_2386,G_calderoniana,Brazil,Eastern_South_America,Forest,general_forest,Leaning_climbing,erect_or_climbing,EKM,,,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0
G_calderoniana_Calderon_and_Santos_2476,G_calderoniana,Brazil,Eastern_South_America,Forest,general_forest,Leaning_climbing,erect_or_climbing,EKM,,,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0
G_chacoensis_Nee_35467,G_chacoensis,Bolivia,Eastern_South_America,Forest,general_forest,Big_erect,erect_or_climbing,EKM,"Papillae absent. Nearly glabrous, more prickle hairs at edges of lemma. Stomata occurring in rows.","Papillae absent. A few hairs on palea margins. Densely hairy in sulcus, keels ciliolate. ",0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1
G_chacoensis_Davidse_et_al_11233,G_chacoensis,Bolivia,Eastern_South_America,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0
G_ciliata_Liesner_ 3477,G_ciliata,Venezuela,Eastern_South_America,River,general_forest,Leaning_climbing,erect_or_climbing,JAC,,,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0
G_ciliata_Davidse_et_al_17318,G_ciliata,Venezuela,Eastern_South_America,River,general_forest,Leaning_climbing,erect_or_climbing,JAC,,,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0
G_ciliata_Kubitzki_et_al_79_135,G_ciliata,Brazil,Eastern_South_America,River,general_forest,Leaning_climbing,erect_or_climbing,EKM,,,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0
G_glomerata_Revilla_3508,G_glomerata,1,Eastern_South_America,River,general_forest,Leaning_climbing,erect_or_climbing,JAC,,,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0
G_glomerata_Rimachi_11035,G_glomerata,Peru,Andes,River,general_forest,Leaning_climbing,erect_or_climbing,JAC,,,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0
G_incana_Londono_973,G_incana,Colombia,Andes,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
G_latifolia_Davidse_27872,G_latifolia,Venezuela,Eastern_South_America,River,general_forest,Big_erect,erect_or_climbing,EKM,"Papillae absent. Few prickle hairs, nearly glabrous, with many rows of stomata. ","Papillae absent. Margins nearly glabrous. Keels ciliate, sulcus densely hairy.",0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0
G_latifolia_Davidse_and_Miller_26893,G_latifolia,Venezuela,Eastern_South_America,River,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0
G_latifolia_Liesner_16183,G_latifolia,Venezuela,Eastern_South_America,River,general_forest,Big_erect,erect_or_climbing,JAC,,,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0
G_longifolia_Cowan_et_al_5123,G_longifolia,Mexico,Mexico,River,general_forest,Small_arching,small_arching,JAC,,,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
G_longifolia_Matuda_3454,G_longifolia,Mexico,Mexico,River,general_forest,Small_arching,small_arching,JAC,,,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,x,x,x,x
G_maclurei_Pohl_and_Erickson_12700,G_maclurei,Nicaragua,Central_America,Forest,general_forest,Small_arching,small_arching,EKM,"Papillae present. Papillae, prickles, and bicellular microhairs in interstomatal bands, stomatal bands with few papillae. Fewer papillae at base of lemma.","Papillae present. Margins with prickles, keels, sulcus hairy. ",1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1
G_macrospiculata_Londono_and_Kobayashi_569,G_macrospiculata,Brazil,Eastern_South_America,River,general_forest,Leaning_climbing,erect_or_climbing,EKM,"Papillae absent. Glabrous, only a few stomata present except in one band","Papillae absent. Margins with prickles and bicellular microhairs, keels hairy, sulcus with a few macrohairs mixed with bicellular microhairs and prickles, but hairs not dense",0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0
G_macrospiculata_Gentry_et_al_21236,G_macrospiculata,Peru,Andes,River,general_forest,Leaning_climbing,erect_or_climbing,JAC,,,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,x,x,x,x
G_macrostachya_Londono_and_Rosa_745,G_macrostachya,Brazil,Eastern_South_America,Forest,general_forest,Big_erect,erect_or_climbing,EKM,"Papillae present but uncommon. Prickles and a few papillae in interstomatal bands, stomata more common at center of lemma and rare at margins.","Papillae absent. Margins glabrous. Keels ciliate, sulcus hairy. ",1,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0
G_macrostachya_Londono_and_Rosa_748,G_macrostachya,Brazil,Eastern_South_America,Forest,general_forest,Big_erect,erect_or_climbing,JAC,,,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1
G_paniculata_Killeen_2807,G_paniculata,Bolivia,Eastern_South_America,Savanna,savanna,Small_arching,small_arching,EKM,"Papillae present. Somewhat more hairs, especially bicellular microhairs, towards the margins. Fewer papillae at margins.","Papillae present. Two densely hairy keels, sulcus with sparse hair. Very dense stomata on outer keel ridges. Much of surface covered in papillae. ",1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0
G_paniculata_Weatherwax_155,G_paniculata,Guatemala,Central_America,Savanna,savanna,Small_arching,small_arching,EKM,Papillae present; papillae and stomata frequent. Prickle hairs fairly uniformally distributed.,Papillae present. Sulcus relatively similar to margin. Keels lack dense stomata. ,1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1
G_paniculata_Hatschbach_and_Cervi_52445,G_paniculata,Brazil,Eastern_South_America,Savanna,savanna,Small_arching,small_arching,EKM,"Papillae present. More hairs at edges, especially prickles. ","Papillae present. Margins with prickle hairs and bicellular microhairs. Sulcus with prickles, bicellular microhairs, and macrohairs. Stomatal bands have fewer papillae, although there are papillae-less bands without stomata as well.",1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
G_paniculata_Stevens_and_Montiel_21482,G_paniculata,Nicaragua,Central_America,Savanna,savanna,Small_arching,small_arching,EKM,Papillae present. Stomatal bands mostly without papillae or prickles. Prickles and a few bicellular microhairs in interstomatal bands. ,"Papillae present. Margins with a few prickle and bicellular microhairs. Sulcus similar to margin, with only a few macrohairs. Keels with macrohairs present. ",1,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
